title,description,property_type,status,price,bedrooms,bathrooms,area_sqft,address,latitude,longitude,country,state,city,amenities,prop_latitude,prop_longitude,image_urls
King's Castle Beach House,Stunning luxury beach house with a huge private pool spa and 6-seater golf cart.,villa,available,450.00,6,4,3200,123 Beach Rd,30.3935,-86.4958,USA,Florida,Destin,рҹҸҠ Pool|рҹҢҠ Beach Access|рҹ…ҝпёҸ Parking|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹҸҢпёҸ Golf Cart|рҹӣҒ Hot Tub,30.4012,-86.4721,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800|https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800
Sunset Condo Downtown,Modern condo with breathtaking city views right in the heart of downtown.,condo,available,180.00,2,2,980,456 Main St,30.3935,-86.4958,USA,Florida,Destin,рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹ…ҝпёҸ Parking|рҹҸӢпёҸ Gym,30.3891,-86.5034,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800
Mountain Cabin Retreat,Cozy rustic cabin surrounded by lush forest with stunning mountain views.,cabin,available,220.00,3,2,1500,789 Forest Ln,35.5175,-83.1927,USA,Tennessee,Gatlinburg,рҹ”Ҙ Fireplace|рҹӣҒ Hot Tub|рҹ“¶ WiFi|рҹҚі Kitchen|рҹҢІ Hiking Trails,35.5301,-83.1745,https://images.unsplash.com/photo-1449158743715-0a90ebb6d2d8?w=800|https://images.unsplash.com/photo-1510798831971-661eb04b3739?w=800
Beachfront Paradise Villa,Breathtaking beachfront villa with direct ocean access private pool and stunning sunset views.,villa,available,850.00,5,4,4500,321 Ocean Dr,25.7617,-80.1918,USA,Florida,Miami,рҹҸҠ Pool|рҹҢҠ Beach Access|рҹ…ҝпёҸ Parking|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹӣҒ Hot Tub|рҹҺ® Game Room,25.7489,-80.1342,https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?w=800|https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800
Downtown Luxury Apartment,Sleek modern apartment in the heart of the city with floor-to-ceiling windows.,apartment,available,275.00,2,2,1100,567 City Ave,41.8781,-87.6298,USA,Illinois,Chicago,рҹҸҠ Rooftop Pool|рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹҸӢпёҸ Gym|рҹ…ҝпёҸ Parking,41.8827,-87.6233,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800|https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800
Lakeside Family Cottage,Charming cottage right on the lake with private dock canoe and kayak.,cabin,available,195.00,4,3,1800,890 Lake Rd,44.4280,-110.5885,USA,Wyoming,Yellowstone,рҹҡЈ Kayak|рҹҺЈ Fishing|рҹ“¶ WiFi|рҹҚі Kitchen|рҹ”Ҙ Fireplace|рҹ…ҝпёҸ Parking,44.4412,-110.5623,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1470770903676-69b98201ea1c?w=800
Desert Adobe Hideaway,Unique adobe-style home in the desert with stunning red rock views.,house,available,320.00,3,2,2100,432 Canyon Rd,36.1069,-112.1129,USA,Arizona,Grand Canyon,рҹӣҒ Hot Tub|вӯҗ Stargazing Deck|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹ…ҝпёҸ Parking,36.0892,-112.0934,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800|https://images.unsplash.com/photo-1509316785289-025f5b846b35?w=800
NYC Studio Loft,Stylish studio loft in the heart of Manhattan close to Times Square.,apartment,available,350.00,1,1,650,789 Broadway,40.7580,-73.9855,USA,New York,New York,рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹҸӢпёҸ Gym|рҹҡҮ Metro Access,40.7614,-73.9776,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=800|https://images.unsplash.com/photo-1536376072261-38c75010e6c9?w=800
Cox's Bazar Beach Resort Villa,Luxurious villa steps away from the world's longest natural sea beach.,villa,available,120.00,4,3,2800,Marine Drive Rd,21.4272,92.0058,Bangladesh,Chittagong,Cox's Bazar,рҹҢҠ Beach Access|рҹҸҠ Pool|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹ…ҝпёҸ Parking|рҹҢ… Sea View,21.4198,92.0112,https://images.unsplash.com/photo-1506929562872-bb421503ef21?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
Gulshan Lake View Apartment,Modern luxury apartment overlooking Gulshan Lake in Dhaka's diplomatic zone.,apartment,available,85.00,3,2,1400,Road 11 Gulshan 2,23.7925,90.4078,Bangladesh,Dhaka,Dhaka,рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹҸӢпёҸ Gym|рҹ…ҝпёҸ Parking|рҹҸҠ Rooftop Pool|рҹ”’ 24hr Security,23.7981,90.4134,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800|https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800
Sundarbans Eco Lodge,Unique eco-lodge at the edge of the Sundarbans mangrove forest with guided jungle tours.,cabin,available,65.00,2,1,900,Mongla Port Rd,22.4831,89.5958,Bangladesh,Khulna,Khulna,рҹҢҝ Eco Tours|рҹҗҜ Wildlife Safari|рҹ“¶ WiFi|рҹҚі Kitchen|рҹҡЈ Boat Rides|рҹҢі Forest View,22.4912,89.6043,https://images.unsplash.com/photo-1448375240586-882707db888b?w=800|https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
Banani Serviced Studio,Sleek fully furnished studio in Banani with rooftop terrace and all modern amenities.,apartment,available,55.00,1,1,650,Road 17 Banani,23.7937,90.4066,Bangladesh,Dhaka,Dhaka,рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹ”’ Security|рҹҡҮ Easy Transport|рҹӣӢпёҸ Furnished,23.7989,90.4021,https://images.unsplash.com/photo-1502672023488-70e25813eb80?w=800|https://images.unsplash.com/photo-1554995207-c18c203602cb?w=800
Sylhet Tea Garden Bungalow,Charming colonial bungalow surrounded by lush green tea gardens with stunning hill views.,house,available,90.00,3,2,1800,Jaflong Rd,24.8949,91.8687,Bangladesh,Sylhet,Sylhet,рҹҢҝ Tea Garden|рҹҸһпёҸ Hill View|рҹ“¶ WiFi|рҹҚі Kitchen|рҹ”Ҙ Bonfire|рҹҢ„ Sunrise View|рҹҡ— Car Rental,24.9012,91.8754,https://images.unsplash.com/photo-1455587734955-081b22074882?w=800|https://images.unsplash.com/photo-1472214103451-9374bd1c798e?w=800
Rangamati Lakeside Retreat,Beautiful retreat on the banks of Kaptai Lake surrounded by tribal culture and natural beauty.,cabin,available,75.00,2,2,1200,Kaptai Lake Shore,22.6322,92.2043,Bangladesh,Chittagong,Rangamati,рҹҡЈ Boat Trips|рҹҺЈ Fishing|рҹ“¶ WiFi|рҹҚі Kitchen|рҹҢҠ Lake View|рҹҸ•пёҸ Campfire|рҹҢ„ Sunrise,22.6289,92.2098,https://images.unsplash.com/photo-1439066615861-d1af74d74000?w=800|https://images.unsplash.com/photo-1501854140801-50d01698950b?w=800
Old Dhaka Heritage House,Beautifully restored heritage mansion in historic Old Dhaka with traditional Mughal architecture.,house,available,110.00,5,3,3200,Shakhari Bazar,23.7104,90.4074,Bangladesh,Dhaka,Dhaka,рҹҸӣпёҸ Heritage|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹҺЁ Art Gallery|рҹ•Ң Historic Area|рҹӣ• Temple Walk,23.7067,90.4112,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=800|https://images.unsplash.com/photo-1480074568708-e7b720bb3f09?w=800
Inani Beach Eco Cottage,Peaceful eco cottage near the crystal clear waters of Inani Beach with coral reef views.,cabin,available,80.00,2,1,850,Inani Beach Rd,21.3167,92.0500,Bangladesh,Chittagong,Cox's Bazar,рҹҢҠ Beach Access|рҹҗ  Snorkeling|рҹ“¶ WiFi|рҹҚі Kitchen|рҹҢ… Sunset View|рҹҢҙ Garden,21.3098,92.0567,https://images.unsplash.com/photo-1499242611767-cf8b9be02854?w=800|https://images.unsplash.com/photo-1505118380757-91f5f5632de0?w=800
Chittagong Hill Tracts Villa,Stunning villa in the scenic Chittagong Hill Tracts with panoramic valley views.,villa,available,95.00,4,2,2200,Sajek Valley Rd,23.3820,92.2932,Bangladesh,Chittagong,Sajek,рҹҸ”пёҸ Valley View|рҹҢҝ Nature Trails|рҹ“¶ WiFi|рҹҚі Kitchen|рҹ”Ҙ Bonfire|вҳҒпёҸ Cloud View|рҹҺӯ Tribal Culture,23.3756,92.2987,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800|https://images.unsplash.com/photo-1416331108676-a22ccb276e35?w=800
Kuakata Sunrise Villa,Unique beachfront villa at Kuakata where you can see both sunrise and sunset over the sea.,villa,available,88.00,3,2,1600,Zero Point Beach,21.8270,90.1200,Bangladesh,Barisal,Kuakata,рҹҢ… Sunrise View|рҹҢҠ Beach Access|рҹ“¶ WiFi|рҹҚі Kitchen|вқ„пёҸ AC|рҹҗ  Sea Fishing|рҹҢҙ Palm Garden,21.8198,90.1267,https://images.unsplash.com/photo-1490077476659-095159692ab5?w=800|https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800
Bandarban Mountain Lodge,Cozy mountain lodge in the highest peak region of Bangladesh with breathtaking views.,cabin,available,70.00,2,1,1000,Nilgiri Hill Rd,21.8311,92.3680,Bangladesh,Chittagong,Bandarban,рҹҸ”пёҸ Mountain View|рҹҢҝ Hiking|рҹ“¶ WiFi|рҹҚі Kitchen|вҳҒпёҸ Cloud Forest|рҹ”Ҙ Bonfire|вӯҗ Stargazing,21.8389,92.3742,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1542224566-6e85f2e6772f?w=800
Dhanmondi Modern Apartment,Contemporary apartment in the heart of Dhanmondi with easy access to restaurants and shopping.,apartment,available,60.00,2,2,1100,Road 27 Dhanmondi,23.7461,90.3742,Bangladesh,Dhaka,Dhaka,рҹ“¶ WiFi|вқ„пёҸ AC|рҹҚі Kitchen|рҹҸӢпёҸ Gym|рҹ…ҝпёҸ Parking|рҹҸӘ Shopping Nearby|рҹ”’ Security,23.7512,90.3689,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800|https://images.unsplash.com/photo-1536376072261-38c75010e6c9?w=800